file,line,function_or_class,pattern,why_slow,suggested_safe_replacement,risk_level,can_auto_revise
src/autofocus/cli/build_q1_paper_outputs.py,73,_read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/build_q1_paper_outputs.py,332,_oracle_mapping,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/build_q1_paper_outputs.py,929,build_q1_paper_outputs,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/build_q1_paper_outputs.py,930,build_q1_paper_outputs,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/build_q1_paper_outputs.py,934,build_q1_paper_outputs,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/build_q1_paper_outputs.py,941,build_q1_paper_outputs,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/make_tables.py,16,main,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
src/autofocus/cli/make_tables.py,21,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/cli/make_tables.py,22,main,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
src/autofocus/data/manifests.py,27,load_manifest,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/data/manifests.py,40,load_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/data/manifests.py,62,_load_group_map,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/data/manifests.py,100,_apply_group_map,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/data/splits.py,40,assign_nested_splits,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,233,build_manifest_for_run,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,273,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
