method,overall_rank_mean,overall_rank_std,rank_generalization_score,alpha,final_rank
single::laplacian_sharpen,7.19,6.0982702465535255,6.862481073966058,0.7,1
single::histogram_equalization,7.64,5.855800543051309,7.104740162915393,0.7,2
single::clahe_enhancement,8.43,4.267329375616558,7.1811988126849675,0.7,3
conventional_clahe_unsharp,8.39,5.378931120585205,7.486679336175562,0.7,4
single::dog_filter,8.38,5.684681169599576,7.571404350879874,0.7,5
identity,9.42,3.7978414922163353,7.733352447664901,0.7,6
single::unsharp_mask,9.15,4.643543905251677,7.798063171575504,0.7,7
single::gamma_correction,9.66,3.5502675955482568,7.827080278664477,0.7,8
single::ssr,9.4,5.208646657242167,8.14259399717265,0.7,9
single::median_filter,9.87,4.25183489801756,8.184550469405266,0.7,10
single::fft_highpass_filter,9.83,5.125046341253901,8.41851390237617,0.7,11
single::bilateral_filter,9.75,5.3528030040344285,8.430840901210328,0.7,12
single::msr,9.49,5.960276839208058,8.431083051762418,0.7,13
single::gaussian_blur,10.19,4.485409680285626,8.478622904085688,0.7,14
single::nlm_denoising,9.83,5.863966234554902,8.64018987036647,0.7,15
single::morph_open_close,10.94,4.46389964044892,8.997169892134675,0.7,16
single::gradient_morph,11.39,4.576341333423459,9.345902400027038,0.7,17
single::tophat_bothat,12.05,4.957065664281642,9.922119699284494,0.7,18
