alpha,method,weighted_mean,weighted_std,value_generalization_score,dataset_weighting_mode,final_rank
0.5,single::ssr,0.31797131453931154,0.03123962842023223,0.1746054714797719,equal_dataset,1
0.5,single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.18180719973647552,equal_dataset,2
0.5,single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.19286152907606172,equal_dataset,3
0.5,single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.20496257530279405,equal_dataset,4
0.5,conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.21061191012819394,equal_dataset,5
0.5,single::dog_filter,0.382713341858316,0.04482164152245683,0.21376749169038642,equal_dataset,6
0.5,single::msr,0.39590911852449795,0.04118572265237453,0.21854742058843624,equal_dataset,7
0.5,single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.22469916386350047,equal_dataset,8
0.5,single::gamma_correction,0.38375003996356843,0.08788187553122868,0.23581595774739855,equal_dataset,9
0.5,identity,0.3836132711738706,0.08857665629424552,0.23609496373405808,equal_dataset,10
0.5,single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.26221527130590544,equal_dataset,11
0.5,single::gradient_morph,0.45632052377685467,0.07026549240984016,0.26329300809334744,equal_dataset,12
0.5,single::median_filter,0.42807286227301666,0.11359306760093803,0.27083296493697734,equal_dataset,13
0.5,single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.27380405151628545,equal_dataset,14
0.5,single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.27652153527216927,equal_dataset,15
0.5,single::morph_open_close,0.44480189413228804,0.12300120788025178,0.2839015510062699,equal_dataset,16
0.5,single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.2874447733696642,equal_dataset,17
0.5,single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.30124300628682543,equal_dataset,18
0.6,single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.2026781600270777,equal_dataset,1
0.6,single::ssr,0.31797131453931154,0.03123962842023223,0.2032786400916798,equal_dataset,2
0.6,single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.22211443217078808,equal_dataset,3
0.6,single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.23128784382968076,equal_dataset,4
0.6,conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.2316322190063935,equal_dataset,5
0.6,single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.24076900448146782,equal_dataset,6
0.6,single::dog_filter,0.382713341858316,0.04482164152245683,0.24755666172397234,equal_dataset,7
0.6,single::msr,0.39590911852449795,0.04118572265237453,0.2540197601756486,equal_dataset,8
0.6,single::gamma_correction,0.38375003996356843,0.08788187553122868,0.2654027741906325,equal_dataset,9
0.6,identity,0.3836132711738706,0.08857665629424552,0.26559862522202055,equal_dataset,10
0.6,single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.29224914506529376,equal_dataset,11
0.6,single::gradient_morph,0.45632052377685467,0.07026549240984016,0.30189851123004885,equal_dataset,12
0.6,single::median_filter,0.42807286227301666,0.11359306760093803,0.30228094440418524,equal_dataset,13
0.6,single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.3061056770400885,equal_dataset,14
0.6,single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.3073781214127652,equal_dataset,15
0.6,single::morph_open_close,0.44480189413228804,0.12300120788025178,0.3160816196314735,equal_dataset,16
0.6,single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.31617762252895587,equal_dataset,17
0.6,single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.3408473440423583,equal_dataset,18
0.7,single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.22354912031767987,equal_dataset,1
0.7,single::ssr,0.31797131453931154,0.03123962842023223,0.23195180870358775,equal_dataset,2
0.7,single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.2513673352655144,equal_dataset,3
0.7,conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.2526525278845931,equal_dataset,4
0.7,single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.25683884509943516,equal_dataset,5
0.7,single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.2576131123565675,equal_dataset,6
0.7,single::dog_filter,0.382713341858316,0.04482164152245683,0.2813458317575583,equal_dataset,7
0.7,single::msr,0.39590911852449795,0.04118572265237453,0.2894920997628609,equal_dataset,8
0.7,single::gamma_correction,0.38375003996356843,0.08788187553122868,0.2949895906338665,equal_dataset,9
0.7,identity,0.3836132711738706,0.08857665629424552,0.29510228670998306,equal_dataset,10
0.7,single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.3222830188246821,equal_dataset,11
0.7,single::median_filter,0.42807286227301666,0.11359306760093803,0.333728923871393,equal_dataset,12
0.7,single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.3356898188080078,equal_dataset,13
0.7,single::gradient_morph,0.45632052377685467,0.07026549240984016,0.3405040143667503,equal_dataset,14
0.7,single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.34095219130924503,equal_dataset,15
0.7,single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.34491047168824757,equal_dataset,16
0.7,single::morph_open_close,0.44480189413228804,0.12300120788025178,0.34826168825667714,equal_dataset,17
0.7,single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.38045168179789113,equal_dataset,18
0.8,single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.24442008060828208,equal_dataset,1
0.8,single::ssr,0.31797131453931154,0.03123962842023223,0.26062497731549567,equal_dataset,2
0.8,single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.2729086857174025,equal_dataset,3
0.8,conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.2736728367627927,equal_dataset,4
0.8,single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.2806202383602408,equal_dataset,5
0.8,single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.28393838088345424,equal_dataset,6
0.8,single::dog_filter,0.382713341858316,0.04482164152245683,0.3151350017911442,equal_dataset,7
0.8,single::gamma_correction,0.38375003996356843,0.08788187553122868,0.3245764070771005,equal_dataset,8
0.8,identity,0.3836132711738706,0.08857665629424552,0.32460594819794564,equal_dataset,9
0.8,single::msr,0.39590911852449795,0.04118572265237453,0.3249644393500733,equal_dataset,10
0.8,single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.3523168925840705,equal_dataset,11
0.8,single::median_filter,0.42807286227301666,0.11359306760093803,0.365176903338601,equal_dataset,12
0.8,single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.3652739605759271,equal_dataset,13
0.8,single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.37364332084753926,equal_dataset,14
0.8,single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.37452626120572485,equal_dataset,15
0.8,single::gradient_morph,0.45632052377685467,0.07026549240984016,0.3791095175034518,equal_dataset,16
0.8,single::morph_open_close,0.44480189413228804,0.12300120788025178,0.3804417568818808,equal_dataset,17
0.8,single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.42005601955342403,equal_dataset,18
0.9,single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.2652910408988843,equal_dataset,1
0.9,single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.28897852633536986,equal_dataset,2
