method,rank_generalization_score,rank_final_rank,value_generalization_score,value_final_rank,failure_count,failure_rate,mean_execution_time,score_direction
single::laplacian_sharpen,6.862481073966058,1,0.2576131123565675,6,0,0.0,0.011699047983104387,lower_is_better
single::histogram_equalization,7.104740162915393,2,0.25683884509943516,5,0,0.0,0.011712994363384762,lower_is_better
single::clahe_enhancement,7.1811988126849675,3,0.22354912031767987,1,0,0.0,0.012225968353593498,lower_is_better
conventional_clahe_unsharp,7.486679336175562,4,0.2526525278845931,4,0,0.0,0.013185506594926953,lower_is_better
single::dog_filter,7.571404350879874,5,0.2813458317575583,7,0,0.0,0.012219035733401754,lower_is_better
identity,7.733352447664901,6,0.29510228670998306,10,0,0.0,0.012320485533284773,lower_is_better
single::unsharp_mask,7.798063171575504,7,0.2513673352655144,3,0,0.0,0.01234682245669691,lower_is_better
single::gamma_correction,7.827080278664477,8,0.2949895906338665,9,0,0.0,0.012329060362183982,lower_is_better
single::ssr,8.14259399717265,9,0.23195180870358775,2,0,0.0,0.014295393301120604,lower_is_better
single::median_filter,8.184550469405266,10,0.333728923871393,12,0,0.0,0.012055218221504703,lower_is_better
single::fft_highpass_filter,8.41851390237617,11,0.3222830188246821,11,0,0.0,0.01642546359997978,lower_is_better
single::bilateral_filter,8.430840901210328,12,0.3356898188080078,13,0,0.0,0.012483799739474371,lower_is_better
single::msr,8.431083051762418,13,0.2894920997628609,8,0,0.0,0.10593402235063297,lower_is_better
single::gaussian_blur,8.478622904085688,14,0.34095219130924503,15,0,0.0,0.012885860879821989,lower_is_better
single::nlm_denoising,8.64018987036647,15,0.34491047168824757,16,0,0.0,0.04362904874628186,lower_is_better
single::morph_open_close,8.997169892134675,16,0.34826168825667714,17,0,0.0,0.014779717413281664,lower_is_better
single::gradient_morph,9.345902400027038,17,0.3405040143667503,14,0,0.0,0.013214038588064877,lower_is_better
single::tophat_bothat,9.922119699284494,18,0.38045168179789113,18,0,0.0,0.01843075798988734,lower_is_better
