category,operator,parameter_name,parameter_type,search_range_or_options,default_or_fixed_value,availability_status,notes
Structure,anisotropic_diffusion,n_iter,int,3..10,5,available,
Structure,anisotropic_diffusion,kappa,float,10.0..50.0,30.0,available,
Structure,anisotropic_diffusion,gamma,float,0.05..0.2,0.1,available,
Uncategorized,apply_median_filter,ksize,fixed,,,available,fixed/default parameter
Uncategorized,apply_reinhard,target_mean,fixed,,,available,fixed/default parameter
Uncategorized,apply_reinhard,target_std,fixed,,,available,fixed/default parameter
Upsample,bicubic_upsample,scale,float,1.0..2.0,1.5,available,
Uncategorized,bilateral_edge_preserve,d,int,3..9,7,available,
Uncategorized,bilateral_edge_preserve,sigma_color,float,10.0..100.0,75.0,available,
Uncategorized,bilateral_edge_preserve,sigma_space,float,10.0..100.0,75.0,available,
Denoise,bilateral_filter,d,int,3..9,5,available,
Denoise,bilateral_filter,sigma_color,float,10.0..100.0,50.0,available,
Denoise,bilateral_filter,sigma_space,float,10.0..100.0,50.0,available,
Contrast,clahe_enhancement,clip_limit,float,1.0..5.0,2.0,available,
Contrast,clahe_enhancement,tile_grid_size,int,4..16,8,available,
Edge,dog_filter,ksize1,int,1..7,3,available,
Edge,dog_filter,ksize2,int,3..11,7,available,
Edge,dog_filter,sigma1,float,0.3..2.0,0.5,available,
Edge,dog_filter,sigma2,float,0.5..3.0,1.5,available,
Frequency,dwt_filter,wavelet,categorical,haar|db1|db2,haar,available,
Frequency,fft_highpass_filter,cutoff,float,0.05..0.3,0.1,available,
Frequency,gabor_filter,ksize,int,5..15,9,available,
Frequency,gabor_filter,sigma,float,1.0..5.0,2.0,available,
Frequency,gabor_filter,theta,float,0.0..3.1415,0.0,available,
Frequency,gabor_filter,lam,float,5.0..20.0,10.0,available,
Frequency,gabor_filter,gamma,float,0.2..0.9,0.5,available,
Contrast,gamma_correction,gamma,float,0.5..2.0,1.0,available,
Denoise,gaussian_blur,ksize,int,1..9,3,available,
Denoise,gaussian_blur,sigma,float,0.0..2.0,0.0,available,
Morph,gradient_morph,ksize,int,3..9,3,available,
Structure,guided_filter,radius,int,3..9,5,unavailable,unavailable in this environment
Structure,guided_filter,eps,float,0.0001..0.01,0.001,unavailable,unavailable in this environment
Contrast,histogram_equalization,,none,,,available,no tunable parameters
Denoise,identity,,none,,,available,no tunable parameters
Edge,laplacian_sharpen,ksize,int,1..9,3,available,
Edge,laplacian_sharpen,amount,float,0.0..2.0,1.0,available,
Color,macenko_normalization,,none,,,unavailable,unavailable in this environment
Denoise,median_filter,ksize,int,1..9,3,available,
Morph,morph_open_close,ksize,int,3..9,3,available,
Retinex,msrcr,gain,float,0.5..2.0,1.0,available,
Retinex,msrcr,offset,float,-1.0..1.0,0.0,available,
Denoise,nlm_denoising,h,float,5.0..20.0,10.0,available,
Denoise,nlm_denoising,template_window_size,int,3..7,7,available,
Denoise,nlm_denoising,search_window_size,int,7..21,21,available,
Color,reinhard_normalization,target_mean,fixed,,,available,fixed/default parameter
Color,reinhard_normalization,target_std,fixed,,,available,fixed/default parameter
Upsample,sr_model,scale,float,1.0..2.0,1.5,available,
Retinex,ssr,sigma,float,5.0..50.0,15.0,available,
Structure,steerable_filter,,none,,,available,no tunable parameters
Morph,tophat_bothat,ksize,int,3..9,5,available,
Edge,unsharp_mask,sigma,float,0.5..3.0,1.0,available,
Edge,unsharp_mask,amount,float,0.0..2.0,1.0,available,
Color,vahadane_normalization,,none,,,unavailable,unavailable in this environment
